[ 12-12-2012 @22:23:48 ] | INFO  | (CinemaOperations.java : 90) =>   =============LOADING ADD CINEMA BODY============
[ 12-12-2012 @22:23:48 ] | DEBUG | (CinemaOperations.java : 91) =>   ===========Currently in cityOpPanel method===========
[ 12-12-2012 @22:24:19 ] | INFO  | (CinemaOperations.java : 97) =>   =============CURRENTLY IN ADD CINEMA BODY============
[ 12-12-2012 @22:24:19 ] | DEBUG | (CinemaOperations.java : 98) =>   ===========Currently in addNewCinema method===========
[ 12-12-2012 @22:24:20 ] | INFO  | (CinemaOperations.java : 125) =>   -----------Add new cinema success---------
[ 12-12-2012 @22:24:20 ] | DEBUG | (CinemaOperations.java : 126) =>   ------Numbers of rows affected: 1--------
[ 12-12-2012 @22:24:24 ] | INFO  | (CinemaOperations.java : 133) =>   =============CURRENTLY IN VIEW CINEMA THEATRES BODY============
[ 12-12-2012 @22:24:24 ] | DEBUG | (CinemaOperations.java : 134) =>   ===========Currently in displayCinemaTheatres method===========
[ 12-12-2012 @22:24:24 ] | INFO  | (CinemaOperations.java : 152) =>   --------View cinemas success---------
[ 13-12-2012 @02:34:34 ] | INFO  | (AdminLogin.java : 29) =>   =============CURRENTLY IN ADMIN LOGIN PAGE============
[ 13-12-2012 @02:34:34 ] | DEBUG | (AdminLogin.java : 30) =>   ===========Currently in execute method===========
[ 13-12-2012 @02:34:34 ] | DEBUG | (AdminLogin.java : 32) =>   ---------username and passwords matched------------
[ 13-12-2012 @02:34:39 ] | INFO  | (CityOperations.java : 73) =>   =============CURRENTLY IN VIEW CITIES BODY============
[ 13-12-2012 @02:34:39 ] | DEBUG | (CityOperations.java : 74) =>   ===========Currently in displayCities method===========
[ 13-12-2012 @02:34:41 ] | INFO  | (CityOperations.java : 91) =>   --------View cities success---------
[ 13-12-2012 @02:34:44 ] | INFO  | (CinemaOperations.java : 90) =>   =============LOADING ADD CINEMA BODY============
[ 13-12-2012 @02:34:44 ] | DEBUG | (CinemaOperations.java : 91) =>   ===========Currently in cityOpPanel method===========
[ 13-12-2012 @02:34:46 ] | INFO  | (CinemaOperations.java : 133) =>   =============CURRENTLY IN VIEW CINEMA THEATRES BODY============
[ 13-12-2012 @02:34:46 ] | DEBUG | (CinemaOperations.java : 134) =>   ===========Currently in displayCinemaTheatres method===========
[ 13-12-2012 @02:34:46 ] | INFO  | (CinemaOperations.java : 152) =>   --------View cinemas success---------
[ 13-12-2012 @02:34:51 ] | INFO  | (CityOperations.java : 99) =>   =============CURRENTLY IN MODIFY SELECTED CITY BODY============
[ 13-12-2012 @02:34:51 ] | DEBUG | (CityOperations.java : 100) =>   ===========Currently in getCityToModify method===========
